customer_id,region,segment,signup_date
C001,North America,SMB,2025-09-22
C002,India,SMB,2025-08-17
C003,India,Mid-Market,2025-08-05
C004,India,Enterprise,2025-11-08
C005,India,SMB,2025-09-12
C006,APAC,SMB,2025-11-01
C007,India,Enterprise,2025-09-15
C008,India,Enterprise,2025-12-01
C009,Europe,Enterprise,2025-07-25
C010,India,Enterprise,2025-08-05
C011,APAC,SMB,2025-11-06
C012,India,Enterprise,2025-11-28
C013,North America,Mid-Market,2025-11-26
C014,India,Enterprise,2025-10-15
C015,Europe,SMB,2025-08-06
C016,Europe,Mid-Market,2025-12-08
C017,India,Enterprise,2025-12-17
C018,Europe,Mid-Market,2025-07-11
C019,APAC,Mid-Market,2025-09-04
C020,APAC,Mid-Market,2025-10-17
C021,Europe,SMB,2025-07-07
C022,Europe,SMB,2025-08-07
C023,North America,Enterprise,2025-08-28
C024,North America,Enterprise,2025-09-09
C025,North America,Enterprise,2025-12-14
C026,India,Enterprise,2025-09-16
C027,Europe,Mid-Market,2025-11-24
C028,APAC,Mid-Market,2025-12-22
C029,India,Enterprise,2025-08-08
C030,North America,Mid-Market,2025-07-08
