order_id,customer_id,order_date,product_category,quantity,order_amount,discount_amount,status
O0001,C020,2026-01-01,Software,1,417.47,49.9,cancelled
O0002,C003,2026-01-01,Services,5,86.11,9.06,cancelled
O0003,C013,2026-01-01,Hardware,3,714.15,37.17,completed
O0004,C007,2026-01-01,Software,4,623.86,12.1,completed
O0005,C015,2026-01-01,Software,4,345.25,14.39,pending
O0006,C012,2026-01-01,Software,2,558.87,31.89,completed
O0007,C008,2026-01-01,Software,3,49.17,6.13,completed
O0008,C012,2026-01-01,Software,5,503.46,24.06,cancelled
O0009,C002,2026-01-01,Services,5,387.05,50.57,completed
O0010,C016,2026-01-01,Software,2,522.06,4.87,completed
O0011,C002,2026-01-01,Services,1,117.81,10.02,cancelled
O0012,C028,2026-01-01,Services,3,198.04,11.18,cancelled
O0013,C004,2026-01-01,Hardware,4,127.67,9.35,completed
O0014,C024,2026-01-02,Software,5,241.22,29.99,completed
O0015,C023,2026-01-02,Services,3,452.81,1.84,cancelled
O0016,C009,2026-01-02,Hardware,2,433.98,59.12,completed
O0017,C008,2026-01-02,Software,2,506.05,59.85,pending
O0018,C007,2026-01-02,Software,1,433.41,23.12,pending
O0019,C023,2026-01-02,Services,3,499.91,25.82,cancelled
O0020,C004,2026-01-02,Software,4,212.4,6.27,completed
O0021,C016,2026-01-02,Services,1,730.99,37.72,pending
O0022,C026,2026-01-02,Software,4,580.73,17.36,pending
O0023,C024,2026-01-02,Software,2,340.84,20.52,completed
O0024,C019,2026-01-02,Software,5,727.69,88.03,pending
O0025,C012,2026-01-02,Software,1,158.49,13.03,pending
O0026,C017,2026-01-02,Software,2,609.62,12.73,completed
O0027,C025,2026-01-03,Hardware,2,485.69,18.9,completed
O0028,C015,2026-01-03,Services,4,543.48,66.44,pending
O0029,C005,2026-01-03,Hardware,2,437.87,1.23,completed
O0030,C016,2026-01-03,Software,3,510.52,9.22,completed
O0031,C026,2026-01-03,Software,2,630.13,83.48,completed
O0032,C017,2026-01-03,Software,4,383.65,1.6,completed
O0033,C007,2026-01-03,Services,4,566.48,38.44,completed
O0034,C029,2026-01-03,Services,2,705.74,98.22,pending
O0035,C013,2026-01-03,Software,4,376.01,4.09,completed
O0036,C004,2026-01-03,Services,3,721.74,16.72,completed
O0037,C008,2026-01-03,Hardware,2,607.48,8.58,cancelled
O0038,C017,2026-01-04,Hardware,3,346.9,21.92,completed
O0039,C018,2026-01-04,Hardware,3,388.59,40.99,completed
O0040,C003,2026-01-04,Software,1,125.77,17.33,completed
O0041,C025,2026-01-04,Hardware,3,177.98,20.18,completed
O0042,C019,2026-01-04,Hardware,1,415.91,20.4,pending
O0043,C003,2026-01-04,Software,3,244.38,0.62,completed
O0044,C028,2026-01-04,Services,4,132.47,0.23,pending
O0045,C002,2026-01-04,Software,2,440.46,15.75,completed
O0046,C010,2026-01-04,Software,3,517.79,41.25,completed
O0047,C012,2026-01-04,Software,1,650.8,97.08,completed
O0048,C007,2026-01-04,Hardware,1,430.82,15.88,completed
O0049,C016,2026-01-04,Services,3,454.89,60.64,completed
