payment_id,order_id,payment_date,payment_method,payment_status,payment_amount
P0001,O0001,2026-01-01,bank_transfer,success,367.57000000000005
P0002,O0002,2026-01-01,bank_transfer,success,77.05
P0003,O0003,2026-01-01,card,success,676.98
P0004,O0004,2026-01-01,bank_transfer,success,611.76
P0005,O0005,2026-01-01,bank_transfer,success,330.86
P0006,O0006,2026-01-01,card,success,526.98
P0007,O0007,2026-01-01,card,success,43.04
P0008,O0008,2026-01-01,wallet,success,479.4
P0009,O0009,2026-01-01,bank_transfer,success,336.48
P0010,O0010,2026-01-01,card,success,517.1899999999999
P0011,O0011,2026-01-01,wallet,success,107.79
P0012,O0012,2026-01-01,wallet,success,186.85999999999999
P0013,O0013,2026-01-01,card,success,118.32000000000001
P0014,O0014,2026-01-02,wallet,success,211.23
P0015,O0015,2026-01-02,card,success,450.97
P0016,O0016,2026-01-02,wallet,success,374.86
P0017,O0017,2026-01-02,wallet,success,446.2
P0018,O0018,2026-01-02,bank_transfer,success,410.29
P0019,O0019,2026-01-02,bank_transfer,success,474.09000000000003
P0020,O0020,2026-01-02,wallet,failed,206.13
P0021,O0021,2026-01-02,card,failed,693.27
P0022,O0022,2026-01-02,bank_transfer,success,563.37
P0023,O0023,2026-01-02,card,success,320.32
P0024,O0024,2026-01-02,bank_transfer,success,639.6600000000001
P0025,O0025,2026-01-02,wallet,success,145.46
P0026,O0026,2026-01-02,card,success,596.89
P0027,O0027,2026-01-03,wallet,success,466.79
P0028,O0028,2026-01-03,wallet,success,477.04
P0029,O0029,2026-01-03,card,success,436.64
P0030,O0030,2026-01-03,wallet,success,501.29999999999995
P0031,O0031,2026-01-03,card,success,546.65
P0032,O0032,2026-01-03,wallet,success,382.04999999999995
P0033,O0033,2026-01-03,card,success,528.04
P0034,O0034,2026-01-03,card,success,607.52
P0035,O0035,2026-01-03,wallet,success,371.92
P0036,O0036,2026-01-03,card,pending,705.02
P0037,O0037,2026-01-03,card,success,598.9
P0038,O0038,2026-01-04,bank_transfer,success,324.97999999999996
P0039,O0039,2026-01-04,bank_transfer,success,347.59999999999997
P0040,O0040,2026-01-04,bank_transfer,success,108.44
P0041,O0041,2026-01-04,wallet,failed,157.79999999999998
P0042,O0042,2026-01-04,card,success,395.51000000000005
P0043,O0043,2026-01-04,card,success,243.76
P0044,O0044,2026-01-04,bank_transfer,success,132.24
P0045,O0045,2026-01-04,card,success,424.71
P0046,O0046,2026-01-04,wallet,success,476.53999999999996
P0047,O0047,2026-01-04,wallet,success,553.7199999999999
P0048,O0048,2026-01-04,wallet,success,414.94
P0049,O0049,2026-01-04,card,success,394.25
P0050,O0050,2026-01-04,card,failed,632.62
P0051,O0051,2026-01-04,card,success,83.33
P0052,O0052,2026-01-05,card,success,362.69
P0053,O0053,2026-01-05,wallet,success,244.34
P0054,O0054,2026-01-05,bank_transfer,success,737.98
P0055,O0055,2026-01-05,card,success,409.37
P0056,O0056,2026-01-05,wallet,failed,71.43
P0057,O0057,2026-01-05,wallet,pending,481.76
P0058,O0058,2026-01-05,wallet,failed,232.21
P0059,O0059,2026-01-05,wallet,success,327.72
P0060,O0060,2026-01-05,card,success,570.78
P0061,O0061,2026-01-05,card,success,725.77
P0062,O0062,2026-01-05,wallet,failed,216.93
P0063,O0063,2026-01-05,card,failed,535.71
P0064,O0064,2026-01-05,bank_transfer,success,576.0
P0065,O0065,2026-01-05,card,success,495.23
P0066,O0066,2026-01-06,bank_transfer,success,513.8000000000001
P0067,O0067,2026-01-06,bank_transfer,success,111.85
P0068,O0068,2026-01-06,card,pending,530.2199999999999
P0069,O0069,2026-01-06,bank_transfer,success,257.10999999999996
P0070,O0070,2026-01-06,bank_transfer,success,182.67999999999998
P0071,O0071,2026-01-06,bank_transfer,success,498.26000000000005
P0072,O0072,2026-01-06,card,success,39.58
P0073,O0073,2026-01-06,bank_transfer,success,244.90000000000003
P0074,O0074,2026-01-06,card,success,188.42999999999998
P0075,O0075,2026-01-06,bank_transfer,success,461.38
P0076,O0076,2026-01-06,bank_transfer,success,491.37
P0077,O0077,2026-01-06,wallet,success,553.7
P0078,O0078,2026-01-06,wallet,success,692.74
P0079,O0079,2026-01-06,wallet,success,552.86
P0080,O0080,2026-01-06,card,success,340.28000000000003
P0081,O0081,2026-01-06,wallet,failed,538.5
P0082,O0082,2026-01-06,wallet,success,427.15000000000003
P0083,O0083,2026-01-06,wallet,success,158.36
P0084,O0084,2026-01-07,bank_transfer,success,661.38
P0085,O0085,2026-01-07,wallet,success,382.53
P0086,O0086,2026-01-07,bank_transfer,success,675.45
P0087,O0087,2026-01-07,wallet,success,595.31
P0088,O0088,2026-01-07,wallet,failed,364.48
P0089,O0089,2026-01-07,wallet,success,225.09
P0090,O0090,2026-01-07,card,success,531.37
P0091,O0091,2026-01-07,wallet,success,186.85
P0092,O0092,2026-01-08,wallet,success,561.3199999999999
P0093,O0093,2026-01-08,bank_transfer,success,190.98999999999998
P0094,O0094,2026-01-08,card,success,459.64
P0095,O0095,2026-01-08,wallet,success,549.0
